station_code,measure_date,HS
raw,1999,102.29050279329608
raw,2000,117.20111731843575
raw,2001,134.16201117318437
raw,2002,99.65333333333334
raw,2003,150.89285714285714
raw,2004,105.3956043956044
raw,2005,70.45810055865921
raw,2006,78.33333333333333
raw,2007,79.3735632183908
raw,2008,119.92178770949721
raw,2009,136.292817679558
raw,2010,117.79661016949153
raw,2011,82.58333333333333
raw,2012,98.96610169491525
raw,2013,93.79005524861878
raw,2014,143.20441988950276
raw,2015,111.40331491712708
raw,2016,68.28571428571429
raw,2017,74.81340782122905
raw,2018,131.57292817679559
raw,2019,143.88618784530388
raw,2020,95.91703296703298
raw,2021,114.93055555555556
raw,2022,72.81675977653632
raw,2023,64.4646408839779
